ID,Month of Order Date,Category,Target
0,Apr-18,Furniture,10400
1,May-18,Furniture,10500
2,Jun-18,Furniture,10600
3,Jul-18,Furniture,10800
4,Aug-18,Furniture,10900
5,Sep-18,Furniture,11000
6,Oct-18,Furniture,11100
7,Nov-18,Furniture,11300
8,Dec-18,Furniture,11400
9,Jan-19,Furniture,11500
10,Feb-19,Furniture,11600
11,Mar-19,Furniture,11800
12,Apr-18,Clothing,12000
13,May-18,Clothing,12000
14,Jun-18,Clothing,12000
15,Jul-18,Clothing,14000
16,Aug-18,Clothing,14000
17,Sep-18,Clothing,14000
18,Oct-18,Clothing,16000
19,Nov-18,Clothing,16000
20,Dec-18,Clothing,16000
21,Jan-19,Clothing,16000
22,Feb-19,Clothing,16000
23,Mar-19,Clothing,16000
24,Apr-18,Electronics,9000
25,May-18,Electronics,9000
26,Jun-18,Electronics,9000
27,Jul-18,Electronics,9000
28,Aug-18,Electronics,9000
29,Sep-18,Electronics,9000
30,Oct-18,Electronics,9000
31,Nov-18,Electronics,9000
32,Dec-18,Electronics,9000
33,Jan-19,Electronics,16000
34,Feb-19,Electronics,16000
35,Mar-19,Electronics,16000
