name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived,PassengerId,Age Group,Fare Quartile,cabin,member_type,is_survived,port,bridge,is_survived2,diff
"Abbing, Mr. Anthony",male,42,3rd,S,United States,5547,7.11,0,0,no,846,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Abbott, Mr. Eugene Joseph",male,13,3rd,S,United States,2673,20.05,0,2,no,2,0-15,2,C85,Passenger,0,"Southampton, England",Bridge C,1,1
"Abbott, Mr. Rossmore Edward",male,16,3rd,S,United States,2673,20.05,1,1,no,747,16-30,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39,3rd,S,England,2673,20.05,1,1,yes,4,31-45,2,C123,Passenger,1,"Southampton, England",Bridge C,1,0
"Abelseth, Miss. Karen Marie",female,16,3rd,S,Norway,348125,7.13,0,0,yes,1237,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Abelseth, Mr. Olaus Jørgensen",male,25,3rd,S,United States,348122,7.13,0,0,yes,6,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Abelson, Mr. Samuel",male,30,2nd,C,France,3381,24,1,0,no,309,31-45,2,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Abelson, Mrs. Hannah",female,28,2nd,C,France,3381,24,1,0,yes,8,16-30,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27,3rd,C,Lebanon,2699,18.1509,0,0,yes,9,16-30,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Abrahamsson, Mr. Abraham August Johannes",male,20,3rd,S,Finland,3101284,7.1806,0,0,yes,1143,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Ådahl, Mr. Mauritz",male,30,3rd,S,Sweden,7076,7.05,0,0,no,11,31-45,Minimum,G6,Passenger,0,"Southampton, England",Bridge G,1,1
"Adams, Mr. John",male,27,3rd,S,England,341826,8.01,0,0,no,402,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Ahlin, Mrs. Johanna Persdotter",female,40,3rd,S,Sweden,7546,9.0906,1,0,no,13,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Aks, Master. Frank Philip",male,0.8333333333,3rd,S,England,392091,9.07,0,1,yes,14,0-15,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Aks, Mrs. Leah",female,18,3rd,S,England,392091,9.07,0,1,yes,15,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Aldworth, Mr. Augustus Henry",male,35,2nd,S,England,248744,13,0,0,no,16,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Alexander, Mr. William Albert",male,25,3rd,S,England,3474,7.1709,0,0,no,17,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Alhomäki, Mr. Ilmari Rudolf",male,19,3rd,S,Finland,3101287,7.1806,0,0,no,18,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Ali, Mr. Ahmed",male,24,3rd,S,Argentina,3101311,7.01,0,0,no,211,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Ali, Mr. William",male,25,3rd,S,Argentina,3101312,7.01,0,0,no,785,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Allen, Miss. Elisabeth Walton",female,29,1st,S,United States,24160,211.6009,0,0,yes,731,31-45,3,B5,Passenger,1,"Southampton, England",Bridge B,1,0
"Allen, Mr. William Henry",male,39,3rd,S,England,373450,8.01,0,0,no,5,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Allison, Master. Hudson Trevor",male,0.9166666667,1st,S,Canada,113781,151.16,1,2,yes,306,0-15,3,C22 C26,Passenger,1,"Southampton, England",Bridge C,1,0
